
HostName                     Aliases                      AddressList                
--------                     -------                      -----------                
10.10.57.1                   {}                           {10.10.57.1}               
lfcterminal2017.lfc.local    {}                           {10.10.57.2}               
listerdc02.lfc.local         {}                           {10.10.57.3}               
LISTERBACKUP                 {}                           {10.10.57.4}               
exchange2014.lfc.local       {}                           {10.10.57.5}               
lfcterminal.lfc.local        {}                           {10.10.57.6}               
10.10.57.7                   {}                           {10.10.57.7}               
10.10.57.8                   {}                           {10.10.57.8}               
server2012.lfc.local         {}                           {10.10.57.9}               
KM8A0330                     {}                           {10.10.57.10}              
RNP0026737E4B72              {}                           {10.10.57.11}              
10.10.57.12                  {}                           {10.10.57.12}              
10.10.57.13                  {}                           {10.10.57.13}              
10.10.57.14                  {}                           {10.10.57.14}              
10.10.57.15                  {}                           {10.10.57.15}              
10.10.57.16                  {}                           {10.10.57.16}              
10.10.57.17                  {}                           {10.10.57.17}              
KM8A0331                     {}                           {10.10.57.18}              
10.10.57.19                  {}                           {10.10.57.19}              
listlnr01c04.lfc.local       {}                           {10.10.57.20}              
10.10.57.21                  {}                           {10.10.57.21}              
10.10.57.22                  {}                           {10.10.57.22}              
10.10.57.23                  {}                           {10.10.57.23}              
10.10.57.24                  {}                           {10.10.57.24}              
10.10.57.25                  {}                           {10.10.57.25}              
10.10.57.26                  {}                           {10.10.57.26}              
10.10.57.27                  {}                           {10.10.57.27}              
10.10.57.28                  {}                           {10.10.57.28}              
10.10.57.29                  {}                           {10.10.57.29}              
10.10.57.30                  {}                           {10.10.57.30}              
10.10.57.31                  {}                           {10.10.57.31}              
10.10.57.32                  {}                           {10.10.57.32}              
10.10.57.33                  {}                           {10.10.57.33}              
10.10.57.34                  {}                           {10.10.57.34}              
10.10.57.35                  {}                           {10.10.57.35}              
10.10.57.36                  {}                           {10.10.57.36}              
10.10.57.37                  {}                           {10.10.57.37}              
10.10.57.38                  {}                           {10.10.57.38}              
10.10.57.39                  {}                           {10.10.57.39}              
10.10.57.40                  {}                           {10.10.57.40}              
10.10.57.41                  {}                           {10.10.57.41}              
10.10.57.42                  {}                           {10.10.57.42}              
10.10.57.43                  {}                           {10.10.57.43}              
10.10.57.44                  {}                           {10.10.57.44}              
10.10.57.45                  {}                           {10.10.57.45}              
10.10.57.46                  {}                           {10.10.57.46}              
10.10.57.47                  {}                           {10.10.57.47}              
10.10.57.48                  {}                           {10.10.57.48}              
10.10.57.49                  {}                           {10.10.57.49}              
km7d9215.lfc.local           {}                           {10.10.57.50}              
listlcb01c01.lfc.local       {}                           {10.10.57.51}              
listlus01c01.lfc.local       {}                           {10.10.57.52}              
listlrg01c01.lfc.local       {}                           {10.10.57.53}              
listlnr01c01.lfc.local       {}                           {10.10.57.54}              
listltr01c06.lfc.local       {}                           {10.10.57.55}              
listlrp01c01.lfc.local       {}                           {10.10.57.56}              
listlmr01c01.lfc.local       {}                           {10.10.57.57}              
10.10.57.58                  {}                           {10.10.57.58}              
listlmd01c02.lfc.local       {}                           {10.10.57.59}              
listltr01ce2.lfc.local       {}                           {10.10.57.60}              
listlna01c04.lfc.local       {}                           {10.10.57.61}              
listllb01c05.lfc.local       {}                           {10.10.57.62}              
listlcb01c03.lfc.local       {}                           {10.10.57.63}              
listlnr01c06.lfc.local       {}                           {10.10.57.64}              
listlad01c02.lfc.local       {}                           {10.10.57.65}              
listlna01c03.lfc.local       {}                           {10.10.57.66}              
listlcs01c01.lfc.local       {}                           {10.10.57.67}              
listlsw01c01.lfc.local       {}                           {10.10.57.68}              
